Standard_Nepali (Source),Entities (Nepali)
कञ्चनपुर सुदूरपश्चिमको तराई भागमा पर्छ।,"कञ्चनपुर (LOC), सुदूरपश्चिम (LOC)"
घोडाघोडी ताल पर्यटकीय आकर्षणको केन्द्र हो।,घोडाघोडी ताल (LOC)
अछाम पहाडी भू–संरचनाले परिचित छ।,अछाम (LOC)
रिडी धार्मिक स्नानका लागि प्रसिद्ध स्थान हो।,रिडी (LOC)
तानसेन दरबार ऐतिहासिक महत्व बोकेको संरचना हो।,तानसेन दरबार (LOC)
हुम्ला नेपालको सबैभन्दा दुर्गम जिल्लामध्ये एक हो।,"हुम्ला (LOC), नेपाल (LOC)"
कोशी नदी पूर्वी नेपालमा बग्ने प्रमुख नदी हो।,"कोशी नदी (LOC), नेपाल (LOC)"
मनाङ हिमाली पर्यटनका लागि परिचित छ।,मनाङ (LOC)
बागमती नदी काठमाडौँ उपत्यकाबाट बग्छ।,"बागमती नदी (LOC), काठमाडौँ उपत्यका (LOC)"
पर्सा राष्ट्रिय निकुञ्ज तराई क्षेत्रमा अवस्थित छ।,"पर्सा राष्ट्रिय निकुञ्ज (LOC), तराई (LOC)"
ललिता निवास काठमाडौँको ऐतिहासिक क्षेत्र हो।,"ललिता निवास (LOC), काठमाडौँ (LOC)"
चौतारा सिन्धुपाल्चोक जिल्लाको सदरमुकाम हो।,"चौतारा (LOC), सिन्धुपाल्चोक (LOC)"
अमरगढी डडेलधुराको प्रमुख सहर हो।,"अमरगढी (LOC), डडेलधुरा (LOC)"
अरुण नदी पूर्वी हिमाली क्षेत्रबाट बग्छ।,अरुण नदी (LOC)
गोक्यो ताल सगरमाथा क्षेत्रभित्र पर्छ।,"गोक्यो ताल (LOC), सगरमाथा (LOC)"
किमाथांका नेपाल–चीन सिमानामा अवस्थित छ।,"किमाथांका (LOC), नेपाल (LOC), चीन (LOC)"
बारपाक भूकम्पपछिको पुनर्निर्माणका लागि चिनिन्छ।,बारपाक (LOC)
महाभारत पर्वतमाला नेपालको मध्य भागमा फैलिएको छ।,"महाभारत पर्वतमाला (LOC), नेपाल (LOC)"
कुस्मा बजार पर्वत जिल्लाको व्यापारिक केन्द्र हो।,"कुस्मा बजार (LOC), पर्वत (LOC)"
राष्ट्रपति दिपा खनालले नयाँ शिक्षा नीति सार्वजनिक गरे।,"राष्ट्रपति (PER), दिपा खनाल (PER)"
प्रधानमन्त्री शेरबहादुर देउवाले आर्थिक सुधार कार्यक्रममा सहभागी भए।,"प्रधानमन्त्री (PER), शेरबहादुर देउवा (PER)"
काठमाडौंमा नयाँ अन्तर्राष्ट्रिय व्यापार मेला सुरु भएको छ।,काठमाडौं (LOC)
नेपाली कांग्रेसले आगामी प्रदेश निर्वाचनको तयारी गरेको छ।,नेपाली कांग्रेस (ORG)
जिल्ला प्रशासन कार्यालय भक्तपुरले आपतकालीन आदेश जारी गर्यो।,"जिल्ला प्रशासन कार्यालय (ORG), भक्तपुर (LOC)"
स्वास्थ्य मन्त्रालयले २५ फेब्रुअरीदेखि नयाँ खोप अभियान सुरु गर्ने निर्णय गर्यो।,"स्वास्थ्य मन्त्रालय (ORG), २५ फेब्रुअरी (DATE)"
नेपाल प्रहरी कार्यालय धरानले सुरक्षा सुधार अभियान सुरु गरेको छ।,"नेपाल प्रहरी कार्यालय (ORG), धरान (LOC)"
पोखरामा नयाँ अन्तर्राष्ट्रिय सम्मेलन आयोजना गरियो।,पोखरा (LOC)
शिक्षा मन्त्रालयले नयाँ पाठ्यपुस्तक वितरण कार्यक्रम सुरु गरेको छ।,शिक्षा मन्त्रालय (ORG)
काठमाडौं महानगरपालिकाले सडक मर्मत योजना सुरु गरेको छ।,"काठमाडौं महानगरपालिका (ORG), काठमाडौं (LOC)"
नेपाल लाइफ इन्स्योरेन्सले नयाँ बीमा योजना सार्वजनिक गरेको छ।,नेपाल लाइफ इन्स्योरेन्स (ORG)
राष्ट्रिय खेलकुद परिषद्ले नयाँ खेलकुद प्रतियोगिता घोषणा गरेको छ।,राष्ट्रिय खेलकुद परिषद् (ORG)
वीरगन्जमा नयाँ व्यापारिक कम्प्लेक्स उद्घाटन भयो।,वीरगन्ज (LOC)
भारतीय दूतावासले काठमाडौंमा नयाँ सांस्कृतिक कार्यक्रम आयोजना गर्यो।,"भारतीय दूतावास (ORG), काठमाडौं (LOC)"
राष्ट्रिय योजना आयोगले २०७९/८० को बजेट प्रस्तुति गरेको छ।,"राष्ट्रिय योजना आयोग (ORG), २०७९/८० (DATE)"
बुटवलमा नयाँ जलविद्युत आयोजना उद्घाटन भयो।,बुटवल (LOC)
राष्ट्रियसभाले आगामी सामाजिक सुरक्षा विधेयक पारित गर्यो।,राष्ट्रियसभा (ORG)
नेपाल पर्यटन बोर्डले पोखरामा नयाँ होटेल प्रमोशन सुरु गरेको छ।,"नेपाल पर्यटन बोर्ड (ORG), पोखरा (LOC)"
काठमाडौँ–पोखरा राजमार्ग मर्मतको काम सुरु भएको छ।,"काठमाडौं (LOC), पोखरा (LOC)"
जिल्ला अदालत ललितपुरले नयाँ फैसला सुनायो।,"जिल्ला अदालत (ORG), ललितपुर (LOC)"
रोहन आज बुटवल बजारमा किनमेल गर्न गयो।,"रोहन (PER), बुटवल (LOC)"
सुष्मा पोखराको लेकसाइड घुम्न गइन्।,"सुष्मा (PER), पोखरा (LOC), लेकसाइड (LOC)"
अर्जुन काठमाडौंको ठमेल क्षेत्र भ्रमणमा छ।,"अर्जुन (PER), काठमाडौं (LOC), ठमेल (LOC)"
कविता ललितपुरको पाटन दरबार स्क्वायर जाँदैछिन्।,"कविता (PER), ललितपुर (LOC), पाटन दरबार स्क्वायर (LOC)"
अजय भक्तपुरको दरबार स्क्वायर घुम्न गयो।,"अजय (PER), भक्तपुर (LOC), दरबार स्क्वायर (LOC)"
माया जनकपुरधामको जानकी मन्दिर दर्शन गर्न गइन्।,"माया (PER), जनकपुरधाम (LOC), जानकी मन्दिर (LOC)"
विवेक धरानको मेची बजारमा भेटियो।,"विवेक (PER), धरान (LOC), मेची बजार (LOC)"
सृष्टि झापाको भुलभुले बजारमा किनमेल गर्दैछिन्।,"सृष्टि (PER), झापा (LOC), भुलभुले बजार (LOC)"
निशा नेपालगञ्ज विमानस्थलबाट उडान भर्ने तयारीमा छिन्।,"निशा (PER), नेपालगञ्ज (LOC), विमानस्थल (LOC)"
रोहन लुम्बिनीमा बौद्ध मठ घुम्न गयो।,"रोहन (PER), लुम्बिनी (LOC), बौद्ध मठ (LOC)"
अर्पण वीरगन्जको व्यापारिक बजारमा पुगे।,"अर्पण (PER), वीरगन्ज (LOC)"
प्रज्ञा चितवन राष्ट्रिय निकुञ्ज भ्रमणमा छिन्।,"प्रज्ञा (PER), चितवन राष्ट्रिय निकुञ्ज (LOC)"
मनिष एभरेस्ट बेस क्याम्प हाइकिङमा सहभागी छ।,"मनिष (PER), एभरेस्ट बेस क्याम्प (LOC)"
राधिका नाम्चे बजारको हिमालयन होटलमा छिन्।,"राधिका (PER), नाम्चे बजार (LOC), हिमालयन होटल (LOC)"
किरण हेटौँडा मेडिकल सेन्टरमा भेटियो।,"किरण (PER), हेटौँडा (LOC), मेडिकल सेन्टर (ORG)"
सीमा पोखराको फेवा ताल घुम्न गइन्।,"सीमा (PER), पोखरा (LOC), फेवा ताल (LOC)"
अजय बागलुङको कालिका मन्दिर दर्शन गर्दैछ।,"अजय (PER), बागलुङ (LOC), कालिका मन्दिर (LOC)"
सुषान्त काठमाडौंको स्वयम्भूनाथ स्तूपमा पुगे,"सुषान्त (PER), काठमाडौं (LOC), स्वयम्भूनाथ स्तूप (LOC)"
रोशनी ललितपुरको राष्ट्रिय संग्रहालय भ्रमणमा छिन्।,"रोशनी (PER), ललितपुर (LOC), राष्ट्रिय संग्रहालय (LOC)"
विकाश धरानको मेडिकल कलेजमा जाँच गर्दैछ।,"विकाश (PER), धरान (LOC), मेडिकल कलेज (ORG/LOC)"
टिकापुर कर्णाली नदी किनारमा अवस्थित सहर हो।,"टिकापुर (LOC), कर्णाली नदी (LOC)"
नाम्चे बजार सगरमाथा क्षेत्रमा पर्ने प्रसिद्ध स्थान हो।,"नाम्चे बजार (LOC), सगरमाथा (LOC)"
भीमदत्त नगर सुदूरपश्चिम प्रदेशको महत्वपूर्ण केन्द्र हो।,"भीमदत्त नगर (LOC), सुदूरपश्चिम प्रदेश (LOC)"
अरनिको राजमार्ग काठमाडौँलाई उत्तरी सिमानासँग जोड्छ।,"अरनिको राजमार्ग (LOC), काठमाडौँ (LOC)"
धनुषाधाम धार्मिक आस्थाका लागि चिनिने स्थल हो।,धनुषाधाम (LOC)
कालीकोट पहाडी भूगोल भएको जिल्ला हो।,कालीकोट (LOC)
चन्द्रगिरि डाँडा काठमाडौँ उपत्यकाको दृश्यावलोकनका लागि प्रसिद्ध छ।,"चन्द्रगिरि डाँडा (LOC), काठमाडौँ उपत्यका (LOC)"
त्रिशूली नदी हिमाली क्षेत्रबाट उत्पत्ति भएको हो।,त्रिशूली नदी (LOC)
सिराहा तराई क्षेत्रमा पर्ने जिल्ला हो।,सिराहा (LOC)
बझाङ सुदूरपश्चिमको दुर्गम पहाडी जिल्ला हो।,"बझाङ (LOC), सुदूरपश्चिम (LOC)"
प्यूठान ऐतिहासिक र सांस्कृतिक महत्व बोकेको क्षेत्र हो।,प्यूठान (LOC)
हलेसी महादेव धार्मिक यात्राका लागि प्रसिद्ध छ।,हलेसी महादेव (LOC)
कालापत्थर हिमाली दृश्यका लागि परिचित स्थान हो।,कालापत्थर (LOC)
बुटवल पश्चिम नेपालको प्रमुख व्यापारिक केन्द्र हो।,"बुटवल (LOC), नेपाल (LOC)"
रोल्पा पहाडी भूभागमा फैलिएको जिल्ला हो।,रोल्पा (LOC)
मेची नदी पूर्वी सिमानाबाट बग्ने नदी हो।,मेची नदी (LOC)
खैरहनी चितवन जिल्लाको नगर क्षेत्र हो।,"खैरहनी (LOC), चितवन (LOC)"
ढोरपाटन शिकार आरक्षका रूपमा चिनिन्छ।,ढोरपाटन (LOC)
गौरीशंकर हिमाल दोलखा क्षेत्रमा अवस्थित छ।,"गौरीशंकर हिमाल (LOC), दोलखा (LOC)"
मालिका धुरा हिमाली भौगोलिक संरचनामा पर्छ।,मालिका धुरा (LOC)
राष्ट्रिय युवा परिषद्ले नयाँ योजना सार्वजनिक गरेको छ।,राष्ट्रिय युवा परिषद् (ORG)
नेपाल रेडक्रस सोसाइटीले बाढी प्रभावित क्षेत्रमा राहत वितरण गरेको छ।,नेपाल रेडक्रस सोसाइटी (ORG)
बागमती प्रदेश सरकारले स्वास्थ्य सुधार योजना लागू गरेको छ।,"बागमती प्रदेश सरकार (ORG), बागमती प्रदेश (LOC)"
मोरङमा नयाँ अस्पताल उद्घाटन भएको छ।,मोरङ (LOC)
राष्ट्रिय जनगणना आगामी असारमा सञ्चालन हुने भएको छ।,असार (DATE)
अंशु बर्दियाको राप्ती नदी किनारमा पुगे।,"अंशु (PER), बर्दिया (LOC), राप्ती नदी (LOC)"
प्रिया झापा जिल्लाको बगदुली बजारमा छिन्।,"प्रिया (PER), झापा (LOC), बगदुली बजार (LOC)"
सागर लुम्बिनी अन्तर्राष्ट्रिय विमानस्थलबाट उडान भर्न लागेको छ।,"सागर (PER), लुम्बिनी अन्तर्राष्ट्रिय विमानस्थल (LOC)"
रोशनी पोखराको डेविस फॉल घुम्न गइन्।,"रोशनी (PER), पोखरा (LOC), डेविस फॉल (LOC)"
अर्पण वीरगन्जको बिजुली बजारमा किनमेल गर्दैछ।,"अर्पण (PER), वीरगन्ज (LOC), बिजुली बजार (LOC)"
जिरी हिमाली पदयात्राका लागि प्रसिद्ध स्थान हो।,जिरी (LOC)
बर्दघाट पश्चिम नेपालको एउटा महत्वपूर्ण बजार क्षेत्र हो।,"बर्दघाट (LOC), नेपाल (LOC)"
चाँदनी दोधारा कञ्चनपुर जिल्लामा अवस्थित छ।,"चाँदनी दोधारा (LOC), कञ्चनपुर (LOC)"
रुकुम पूर्व पहाडी भूभागमा पर्ने जिल्ला हो।,रुकुम पूर्व (LOC)
इलाका प्रशासन कार्यालय स्थानीय प्रशासनिक संरचनाको भाग हो।,इलाका प्रशासन कार्यालय (ORG )
राष्ट्रिय पत्रकार संघले पत्रकार सम्मेलन आयोजना गर्यो।,राष्ट्रिय पत्रकार संघ (ORG)
सृष्टी नाम्चे बजारको हिमालयन गेस्ट हाउसमा छिन्।,"सृष्टी (PER), नाम्चे बजार (LOC), हिमालयन गेस्ट हाउस (LOC)"
जिल्ला प्रशासन कार्यालय मोरङले निषेधाज्ञा थप गरेको छ।,"मार्तडी (LOC), बाजुरा (LOC)"
सरकारले जलविद्युत आयोजना विस्तार गर्ने तयारी गरेको छ।,"जिल्ला प्रशासन कार्यालय (ORG), मोरङ (LOC)"
रोहन जनकपुरधामको धर्मशाला भ्रमणमा छ।,"रोहन (PER), जनकपुरधाम (LOC), धर्मशाला (LOC)"
