Dialect_Text (Target),Entities (Nepali)
सीमा धरानको मेडिकल कलेज जाँच गर्दैछ।,"सीमा (PER), धरान (LOC), मेडिकल कलेज (ORG)"
दैलेख मध्यपहाडी ठौरमा भयाको  जिल्ला हो।,दैलेख (LOC)
कञ्चनपुर सुदूरपश्चिमको तराई भागमा पड्दो छ ।,"कञ्चनपुर (LOC), सुदूरपश्चिम (LOC)"
घोडाघोडी ताल पर्यटकले घुमनै पर्न्या ठौर हो।,घोडाघोडी ताल (LOC)
अछाम पाहाड  भू–संरचनाले जान्याको छ।,अछाम (LOC)
रिडी धार्मिक स्नानका लागि जान्याको ठौर  हो।,रिडी (LOC)
तानसेन दरबार ऐतिहासिक महत्व बोक्याको संरचना हो।,तानसेन दरबार (LOC)
हुम्ला नेपालको सबैभन्दा दुर्गम जिल्लामध्ये एक हो।,"हुम्ला (LOC), नेपाल (LOC)"
कोशी नदी पूर्वी नेपालमा बगन्या प्रमुख घाट हो।,"कोशी नदी (LOC), नेपाल (LOC)"
मनाङ हिमाल घुम्न्या लागि चिन्न्याको छ।,मनाङ (LOC)
बागमती नदी काठमान्डू उपत्यकाबाट बग्दो छ ।,"बागमती नदी (LOC), काठमाडौँ उपत्यका (LOC)"
पर्सा राष्ट्रिय निकुञ्ज तराई क्षेत्रमा पड़दो छ।,"पर्सा राष्ट्रिय निकुञ्ज (LOC), तराई (LOC)"
ललिता निवास काठमाडौँको ऐतिहासिक ठौर हो।,"ललिता निवास (LOC), काठमाडौँ (LOC)"
चौतारा सिन्धुपाल्चोक जिल्लाको सदरमुकाम हो।,"चौतारा (LOC), सिन्धुपाल्चोक (LOC)"
अमरगढी डडेलधुराको प्रमुख सहर हो।,"अमरगढी (LOC), डडेलधुरा (LOC)"
अरुण नदी पूर्वी हिमालको  ठौर देखि बग्दो छ ।,अरुण नदी (LOC)
गोक्यो ताल सगरमाथा क्षेत्रभित्र पड्डो छ ।,"गोक्यो ताल (LOC), सगरमाथा (LOC)"
किमाथांका नेपाल–चीन सिमानामा छ।,"किमाथांका (LOC), नेपाल (LOC), चीन (LOC)"
बारपाक भूकम्पपछि पुनर्निर्माणका लागि चिन्याको छ ।,बारपाक (LOC)
महाभारत पर्वतमाला नेपालको बिच भागमा फैल्याको छ।,"महाभारत पर्वतमाला (LOC), नेपाल (LOC)"
कुस्मा बजार पर्वत जिल्लाको व्यापारिक ठौर हो।,"कुस्मा बजार (LOC), पर्वत (LOC)"
"राष्ट्रपति दिपा खनाललेनौलो  शिक्षा नीति सार्वजनिक गर्याको छ ।
","राष्ट्रपति (PER), दिपा खनाल (PER)"
"प्रधानमन्त्री शेरबहादुर देउवाले आर्थिक सुधार कार्यक्रममा सहभागी भए।
","प्रधानमन्त्री (PER), शेरबहादुर देउवा (PER)"
"काठमाडौंमानौलो  अन्तर्राष्ट्रिय व्यापार मेला सुरु भयाको  छ।
",काठमाडौं (LOC)
"नेपाली कांग्रेसले आगामी प्रदेश निर्वाचनको तयारी गर्याको  छ।
",नेपाली कांग्रेस (ORG)
"जिल्ला प्रशासन कार्यालय भक्तपुरले आपतकालीन आदेश जारी गर्यो।
","जिल्ला प्रशासन कार्यालय (ORG), भक्तपुर (LOC)"
"स्वास्थ्य मन्त्रालयले २५ फेब्रुअरीदेखिनौलो  खोप अभियान सुरु गर्न्या  निर्णय गर्यो ।
","स्वास्थ्य मन्त्रालय (ORG), २५ फेब्रुअरी (DATE)"
"नेपाल प्रहरी कार्यालय धरानले सुरक्षा सुधार अभियान सुरु गर्याको  छ।
","नेपाल प्रहरी कार्यालय (ORG), धरान (LOC)"
"पोखरामानौलो  अन्तर्राष्ट्रिय सम्मेलन आयोजना गरियो।
",पोखरा (LOC)
"शिक्षा मन्त्रालयलेनौलो  पाठ्यपुस्तक वितरण कार्यक्रम सुरु गर्याको  छ।
",शिक्षा मन्त्रालय (ORG)
"काठमाडौं महानगरपालिकाले सडक मर्मत योजना सुरु गर्याको  छ।
","काठमाडौं महानगरपालिका (ORG), काठमाडौं (LOC)"
"नेपाल लाइफ इन्स्योरेन्सले नौलो  बीमा योजना सार्वजनिक गर्याको  छ।

",नेपाल लाइफ इन्स्योरेन्स (ORG)
"राष्ट्रिय खेलकुद परिषद्लेनौलो  खेलकुद प्रतियोगिता घोषणा गर्याको  छ।
",राष्ट्रिय खेलकुद परिषद् (ORG)
"वीरगन्जमा नौलो  व्यापारिक कम्प्लेक्स उद्घाटन भयो।
",वीरगन्ज (LOC)
"भारतीय दूतावासले काठमाडौंमानौलो  सांस्कृतिक कार्यक्रम आयोजना गर्यो।
","भारतीय दूतावास (ORG), काठमाडौं (LOC)"
"राष्ट्रिय योजना आयोगले २०७९/८० को बजेट प्रस्तुति गर्याको  छ।
","राष्ट्रिय योजना आयोग (ORG), २०७९/८० (DATE)"
"बुटवलमा नौलो  जलविद्युत आयोजना उद्घाटन भयो।
",बुटवल (LOC)
"राष्ट्रियसभाले आगामी सामाजिक सुरक्षा विधेयक पारित गर्यो।
",राष्ट्रियसभा (ORG)
"नेपाल पर्यटन बोर्डले पोखरामा नौलो  होटेल प्रमोशन सुरु गर्याको  छ।
","नेपाल पर्यटन बोर्ड (ORG), पोखरा (LOC)"
"काठमाडौँ–पोखरा राजमार्ग मर्मतको काम सुरु हुन्या भयाको  छ।
","काठमाडौं (LOC), पोखरा (LOC)"
"जिल्ला अदालत ललितपुरलेनौलो  फैसला सुनायो।
","जिल्ला अदालत (ORG), ललितपुर (LOC)"
"रोहन आज बुटवल बजारमा किनमेल गर्न गयो।
","रोहन (PER), बुटवल (LOC)"
"सुष्मा पोखराको लेकसाइड घुम्न गइ।
","सुष्मा (PER), पोखरा (LOC), लेकसाइड (LOC)"
"अर्जुन काठमाडौंको ठमेल ठौर घुमफेरमा  छ।
","अर्जुन (PER), काठमाडौं (LOC), ठमेल (LOC)"
"कविता ललितपुरको पाटन दरबार स्क्वायर जाँदैछ।
","कविता (PER), ललितपुर (LOC), पाटन दरबार स्क्वायर (LOC)"
"अजय भक्तपुरको दरबार स्क्वायर घुम्न गयो।
","अजय (PER), भक्तपुर (LOC), दरबार स्क्वायर (LOC)"
"माया जनकपुरधामको जानकी मन्दिर दर्शन गर्न गइ।
","माया (PER), जनकपुरधाम (LOC), जानकी मन्दिर (LOC)"
"विवेक धरानको मेची बजारमा भेट्यो ।
","विवेक (PER), धरान (LOC), मेची बजार (LOC)"
"सृष्टि झापाको भुलभुले बजारमा किनमेल गर्दैछ।
","सृष्टि (PER), झापा (LOC), भुलभुले बजार (LOC)"
"निशा नेपालगञ्ज विमानस्थलबाट उडान भर्ने तयारीमा छ।
","निशा (PER), नेपालगञ्ज (LOC), विमानस्थल (LOC)"
"रोहन लुम्बिनीमा बौद्ध मठ घुम्न गयो।
","रोहन (PER), लुम्बिनी (LOC), बौद्ध मठ (LOC)"
"अर्पण वीरगन्जको व्यापारिक बजारमा पुगे।
","अर्पण (PER), वीरगन्ज (LOC)"
"प्रज्ञा चितवन राष्ट्रिय निकुञ्ज भ्रमणमा छ।
","प्रज्ञा (PER), चितवन राष्ट्रिय निकुञ्ज (LOC)"
"मनिष एभरेस्ट बेस क्याम्प हाइकिङमा सहभागी छ।
","मनिष (PER), एभरेस्ट बेस क्याम्प (LOC)"
"राधिका नाम्चे बजारको हिमालयन होटलमा छ।
","राधिका (PER), नाम्चे बजार (LOC), हिमालयन होटल (LOC)"
"किरण हेटौँडा मेडिकल सेन्टरमा भेटियो।
","किरण (PER), हेटौँडा (LOC), मेडिकल सेन्टर (ORG)"
सीमा पोखराको फेवा ताल घुम्न गइ |,"सीमा (PER), पोखरा (LOC), फेवा ताल (LOC)"
"अजय बागलुङको कालिका मन्दिर दर्शन गर्दैछ।
","अजय (PER), बागलुङ (LOC), कालिका मन्दिर (LOC)"
"सुषान्त काठमाडौंको स्वयम्भूनाथ स्तूपमा 
पुग्यो ","सुषान्त (PER), काठमाडौं (LOC), स्वयम्भूनाथ स्तूप (LOC)"
रोशनी ललितपुरको राष्ट्रिय संग्रहालय भ्रमणमा छ।,"रोशनी (PER), ललितपुर (LOC), राष्ट्रिय संग्रहालय (LOC)"
"विकाश धरानको मेडिकल कलेजमा जाँच गर्दैछ।
","विकाश (PER), धरान (LOC), मेडिकल कलेज (ORG)"
टिकापुर कर्णाली घाटका छालमा पडड़ो छ ।,"टिकापुर (LOC), कर्णाली नदी (LOC)"
नाम्चे बजार सगरमाथाको ठौरमा पड्नया निक्कै ठौर हो।,"नाम्चे बजार (LOC), सगरमाथा (LOC)"
भीमदत्त नगर सुदूरपश्चिम प्रदेशको मुख्या ठौर हो।,"भीमदत्त नगर (LOC), सुदूरपश्चिम प्रदेश (LOC)"
अरनिको बाटो काठमाडौँलाई उत्तरी सिमानासँग जोडड़ो छ ।,"अरनिको राजमार्ग (LOC), काठमाडौँ (LOC)"
धनुषाधाम धर्म  मान्याका लागि चिन्न्याको ठौर हो।,धनुषाधाम (LOC)
कालीकोट पहाड भयाको  जिल्ला हो।,कालीकोट (LOC)
चन्द्रगिरि डाँडोबाट काठमाडौँ ठाउँ निक्कै राम्रो धेकिदो जन्यन्को छ।,"चन्द्रगिरि डाँडा (LOC), काठमाडौँ उपत्यका (LOC)"
त्रिशूली नदी हिमाली ठाउँबाट निक्ल्याको हो।,त्रिशूली नदी (LOC)
सिराहा तराई ठाउँमा  पद्न्या जिल्ला हो।,सिराहा (LOC)
बझाङ सुदूरपश्चिमको दुर्गम पहाडी जिल्ला हो।,"बझाङ (LOC), सुदूरपश्चिम (LOC)"
प्यूठान ऐतिहासिक र सांस्कृतिक महत्व बोक्याको  ठाउँ  हो।,प्यूठान (LOC)
हलेसी महादेव धार्मिक घुम्नन लागि जान्यको  छ।,हलेसी महादेव (LOC)
कालापत्थर हिमाल हेर्नका लागि निक्कै राम्रो ठौर हो।,कालापत्थर (LOC)
बुटवल पश्चिम नेपालको जान्यको व्यापारिक केन्द्र हो।,"बुटवल (LOC), नेपाल (LOC)"
रोल्पा पहाडी ठाउँमा  फैल्याको जिल्ला हो।,रोल्पा (LOC)
मेची नदी पूर्वी सिमानादेखी बगन्या खोलो हो।,मेची नदी (LOC)
खैरहनी चितवन जिल्लाको मुख्य ठाउँ  हो।,"खैरहनी (LOC), चितवन (LOC)"
ढोरपाटन शिकार आरक्षकालागि जनय्को छ ।,ढोरपाटन (LOC)
गौरीशंकर हिमाल दोलखा ठाउँमा रयाको  छ।,"गौरीशंकर हिमाल (LOC), दोलखा (LOC)"
मालिका धुरा हिमाली भौगोलिक संरचनामा  पड्ड़ो छ ।,मालिका धुरा (LOC)
"राष्ट्रिय युवा परिषद्ले नयाँ योजना सार्वजनिक 
गर्याको छ।",राष्ट्रिय युवा परिषद् (ORG)
नेपाल रेडक्रस सोसाइटीले बाढी प्रभावित क्षेत्रमा राहत वितरण गर्याको छ।,नेपाल रेडक्रस सोसाइटी (ORG)
"बागमती प्रदेश सरकारले स्वास्थ्य सुधार योजना लागू गर्याको छ।
","बागमती प्रदेश सरकार (ORG), बागमती प्रदेश (LOC)"
"मोरङमा नयाँ अस्पताल उद्घाटन भयाको  छ।
",मोरङ (LOC)
केन्द्रीय बैंकले ब्याजदर समायोजन गरेको घोषणा भयाको छ।,असार (DATE)
"अंशु बर्दियाको राप्ती नदी किनारमा पुगे।
","अंशु (PER), बर्दिया (LOC), राप्ती नदी (LOC)"
"प्रिया झापा जिल्लाको बगदुली बजारमा छ।
","प्रिया (PER), झापा (LOC), बगदुली बजार (LOC)"
"सागर लुम्बिनी अन्तर्राष्ट्रिय विमानस्थलबाट उडान भर्न  लाग्याको  छ।
","सागर (PER), लुम्बिनी अन्तर्राष्ट्रिय विमानस्थल (LOC)"
"रोशनी पोखराको डेविस फॉल घुम्न गइ।
","रोशनी (PER), पोखरा (LOC), डेविस फॉल (LOC)"
"अर्पण वीरगन्जको बिजुली बजारमा किनमेल गर्दैछ।
","अर्पण (PER), वीरगन्ज (LOC), बिजुली बजार (LOC)"
"जिरी हिमाली पदयात्राका लागि प्रसिद्ध स्थान हो।
",जिरी (LOC)
बर्दघाट पश्चिम नेपालको निक्कै महत्वपूर्ण बजारको ठौर हो।,"बर्दघाट (LOC), नेपाल (LOC)"
चाँदनी दोधारा कञ्चनपुर जिल्लामा रहया छ।,"चाँदनी दोधारा (LOC), कञ्चनपुर (LOC)"
रुकुम पूर्व पहाडको  भूभागमा पर्न्या  जिल्ला हो।,रुकुम पूर्व (LOC)
इलाका प्रशासन कार्यालय स्थानीय प्रशासनिक संरचनाको भाग हो।,इलाका प्रशासन कार्यालय (ORG )
"राष्ट्रिय पत्रकार संघले पत्रकार सम्मेलन आयोजना गर्यो।
",राष्ट्रिय पत्रकार संघ (ORG)
"सृष्टी नाम्चे बजारको हिमालयन गेस्ट हाउसमा छ
","सृष्टी (PER), नाम्चे बजार (LOC), हिमालयन गेस्ट हाउस (LOC)"
"जिल्ला प्रशासन कार्यालय मोरङले निषेधाज्ञा थप गर्याको  छ।
","मार्तडी (LOC), बाजुरा (LOC)"
"सरकारले जलविद्युत आयोजना विस्तार गर्ने तयारी गर्याको  छ।
","जिल्ला प्रशासन कार्यालय (ORG), मोरङ (LOC)"
"रोहन जनकपुरधामको धर्मशाला भ्रमणमा छ।
","रोहन (PER), जनकपुरधाम (LOC), धर्मशाला (LOC)"
